,Authors,ArticleTitle,Date,Abstract,Keywords,Affiliations
67,,"""Type 2 diabetes--time to change our approach."", ",Jun. 2010,,,
68,"E. Shafrir, M. Malecki, G. Schernthaner and J. Kiljanski, ","""Treatment of type 2 diabetes mellitus. Introduction."", ",Dec. 2008,,,
69,"JG. Eriksson, ","""Exercise and the treatment of type 2 diabetes mellitus. An update."", ",Jun. 1999,"""Exercise has long been considered a cornerstone in the treatment regimen for patients with type 2 (non-insulin-dependent) diabetes mellitus. Aerobic endurance exercise has traditionally been advocated as the most suitable exercise mode. Several exercise studies have evaluated the effect of exercise on insulin sensitivity and glycaemic control in patients with type 2 diabetes mellitus. However, the results obtained have been highly heterogeneous regarding the effect of exercise on insulin sensitivity and glycaemic control. Only in certain subgroups (e.g. patients with type 2 diabetes mellitus under 55 years of age, those with diabetes treated through diet and those who have diabetes with fairly good metabolic control), does exercise seem to be beneficial with regard to improvement in glycaemic control. There has been little research into the effects of resistance training on glucose metabolism in patients with type 2 diabetes mellitus compared with the amount of research involving aerobic endurance exercise. The incidence of type 2 diabetes mellitus increases with increasing age, partly because of the decline in muscle mass associated with aging. This corresponds with a decline in metabolic function, supporting the usefulness of resistance training. Available studies support the usefulness of resistance training in the treatment of type 2 diabetes mellitus. Therefore, based on the published studies reviewed, this author proposes that an optimal exercise programme for individuals with type 2 diabetes mellitus should include components that improve cardiorespiratory fitness, muscular strength and endurance, i.e. a combination of aerobic endurance training and circuit-type resistance training. Programmes combining various modes of exercise positively influence patient compliance with the exercise programme. The vast majority of patients with type 2 diabetes mellitus can undertake an individualised exercise programme without significantly increased risks of complications.""",,"""National Public Health Institute, Department of Epidemiology and Health Promotion, Helsinki, Finland. johan.eriksson@ktl.fi"", "
70,"MM. Sale and SS. Rich, ","""Genetic contributions to type 2 diabetes: recent insights."", ",Mar. 2007,"""Few Type 2 diabetes loci are considered confirmed and replicated across multiple populations. Some genes that have become accepted as contributors to diabetes risk include: calpain 10, peroxisome proliferator-activated receptor-gamma, ATP-sensitive inwardly rectifying potassium channel subunit Kir6.2, hepatocyte nuclear factor 4alpha and hepatic transcription factor 1. While numerous reports of new diabetes loci enter the literature on a regular basis, this review focuses on selected novel associations reported within the last 12 months. In particular, we highlight recent reports of associations between Type 2 diabetes and the transcription factor 7-like 2 gene, associations with micro-opioid receptor and supressor of cytokine signaling 2 genes, and expression and functional analyses of adipokines vaspin and retinol binding protein 4. These new results provide insights into possible mechanisms influencing disease susceptibility and thus new diagnostic and therapeutic opportunities for Type 2 diabetes.""",,"""Internal Medicine, Wake Forest University School of Medicine, Center for Human Genomics, Medical Center Blvd, Winston-Salem, NC 27157, USA. msale@wfubmc.edu"", "
71,"A. Bonaventura, ","""Reducing cardiovascular risk in type 2 diabetes: Let's use all we have!,"" ",Jul. 2020,,,"""Pauley Heart Center, Division of Cardiology, Department of Internal Medicine, Virginia Commonwealth University, 1200 E Marshall St, Richmond, VA, 23298, USA; First Clinic of Internal Medicine, Department of Internal Medicine, University of Genoa, viale Benedetto XV 6, 16132, Genoa, Italy. Electronic address: aldo.bonaventura@vcuhealth.org."", "
72,"R. Karthikeyan, G. Marimuthu, DW. Spence, SR. Pandi-Perumal, AS. BaHammam, GM. Brown and DP. Cardinali, ","""Should we listen to our clock to prevent type 2 diabetes mellitus?,"" ",Nov. 2014,"""The circadian clock drives a number of metabolic processes including energy intake, storage and utilization coupled with the sleep/wake cycles. Globally, the increasing prevalence of type 2 diabetes (T2DM) has become a significant international public health concern. In view of the heavy societal burden caused by diabetes, and further, to reduce its growing incidence, it is clearly essential to understand the causes of this disease and to devise more effective strategies for its treatment. Although many factors cause T2DM, this article centers on the role of circadian regulation of metabolism. The correlation between the increased occurrence of T2DM and the ubiquity of modern social pressures such as 24/7 lifestyles as well as nocturnal lighting conditions point strongly to the hypothesis that malfunctioning of circadian controls may be involved in the etiology of the illness. Nocturnal light exposure, unusual timing of food, irregular sleep/wake schedules and traveling between different time zones are some of the factors responsible for improper entrainment of the clock. Recent reports have proposed that strengthening of circadian clock functioning and proper timing of food intake could stabilize glucose homeostasis. This strategy thus represents a chronotherapeutic option for non-pharmaceutical intervention in treating T2DM patients.""","Circadian rhythms, Clock genes, Melatonin., Metabolism, Type 2 diabetes mellitus, ","""Department of Animal Behaviour, School of Biological Sciences, Madurai Kamaraj University, Madurai 625 021, Tamil Nadu, India."", ""Department of Animal Behaviour, School of Biological Sciences, Madurai Kamaraj University, Madurai 625 021, Tamil Nadu, India. Electronic address: emailboxgm@gmail.com."", ""Independent Researcher,652 Dufferin Street, Toronto, ON M6K 2B4, Canada."", ""Center for Healthful Behavior Change (CHBC), Division of Health and Behavior, Department of Population Health, New York University Medical Center, Clinical & Translational Research Institute, New York, NY 10016, USA."", ""University Sleep Disorders Center, College of Medicine, National Plan for Science and Technology, King Saud University, Riyadh, Saudi Arabia."", ""Centre for Addiction and Mental Health, University of Toronto, 100 Stokes St., Toronto, ON M6J 1H4, Canada."", ""Department of Teaching and Research, Faculty of Medical Sciences, Pontificia Universidad Católica Argentina, Buenos Aires, 1107, Argentina."", "
73,"N. Gungor and S. Arslanian, ","""Pathophysiology of type 2 diabetes mellitus in children and adolescents: treatment implications."", ",2002,"""Type 2 diabetes mellitus was considered an exclusive disease of adulthood until the late 1970s, when reports of an increased prevalence in the pediatric age group emerged in the literature. The concerning upswing in the rate of diagnosis of type 2 diabetes mellitus in children and adolescents has continued, parallel to the increasing rates of obesity. The disease is not specific to the U.S.; it has proven to be a global problem. The current information on type 2 diabetes mellitus in children and adolescents is mostly extrapolated from studies in adults with type 2 diabetes mellitus, due to the paucity of studies conducted in youth. Obesity, family history of type 2 diabetes mellitus, minority ethnicity and race, polycystic ovary syndrome, maternal diabetes mellitus or impaired glucose tolerance during gestation, and acanthosis nigricans are the major risk factors and markers of youth-onset type 2 diabetes mellitus. The pathophysiology, which involves both an insulin secretion defect and resistance to insulin, needs further clarification in pediatric studies. Current management approaches involve lifestyle modification (nutritional and exercise) along with pharmacologic agents, such as insulin and oral antihyperglycemic medications, as indicated. A recent study on the use of metformin in childhood-onset type 2 diabetes mellitus demonstrated the drug to be effective and to have a good safety profile in this population. However, the outcomes of ongoing studies and future studies focusing on type 2 diabetes mellitus in the pediatric age group will be crucial in terms of fine-tuning management plans and setting up appropriate prevention strategies.""",,"""Division of Pediatric Endocrinology, Metabolism, and Diabetes Mellitus, Children's Hospital, University of Pittsburgh, Pittsburgh, Pennsylvania 15213, USA."", "
74,"A. Flint and S. Arslanian, ","""Treatment of type 2 diabetes in youth."", ",May. 2011,,,"""Division of Weight Management and Wellness, Children,s Hospital of Pittsburgh, University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, USA."", "
75,"MJ. Beck, BJ. Evans, JL. Quarry-Horn and JR. Kerrigan, ","""Type 2 diabetes mellitus: issues for the medical care of pediatric and adult patients."", ",Sep. 2002,,,"""Department of Internal Medicine, Milton S. Hershey Medical Center, Pennsylvania State University, Hershey 17033-0850, USA."", "
76,"R. Jayanthi and AR. Srinivasan, ","""Biochemical isthmus nexus between type 2 diabetes mellitus and thyroid status-an update."", ",2019,"""Both Type 1 [T1DM] and Type 2 diabetes mellitus [T2DM] share a nexus with altered thyroid status. In recent times, evidences point to the link between thyroid hormones andT2DM in particular. Several lines of evidences suggest an array of biochemical and molecular events. Gene polymorphism, disturbances in gene expression and regulation, enhanced and bizarre absorption of dietary glucose from intestine, decreased utilization of glucose by tissues and aberrations in hepatic handling of glucose with the onus on Gluconeogenesis are some of the projected mechanisms. Insulin resistance, a progressive condition is the hallmark in T2DM. Hypothyroidism as well as hyperthyroidism have been associated with insulin resistance which are synonymous with impaired glucose metabolism in T2DM. A multitude of basic, clinical and molecular studies provide an insight into thyroid comorbidity in T2DM, though there are a few instances to suggest equivocal link denoting cause-effect relationship. In biochemical pharmacology, as fortified by pharmacogenomics, modalities have now been proposed, through drug trials, to underline the utility of specifically designed thyroid hormone analogues in addressing metabolic syndrome, DM and associated cardiovascular pathology. A thorough understanding of the physiological, biochemical and molecular mechanisms would certainly open newer vistas in the perspectives of T2DM with special reference to alterations in thyroid status.""",,"""Department of Biochemistry, Mahatma Gandhi Medical College and Research Institute, Sri Balaji Vidyapeeth, Pillaiyarkuppam, Pondicherry, 607 402, India."", ""Department of Biochemistry, Mahatma Gandhi Medical College and Research Institute, Sri Balaji Vidyapeeth, Pillaiyarkuppam, Pondicherry, 607 402, India. Electronic address: srinivasanar@mgmcri.ac.in."", "
77,"JA. Florence and BF. Yeager, ","""Treatment of type 2 diabetes mellitus."", ",May. 1999,"""Type 2 diabetes mellitus (formerly called non-insulin-dependent diabetes) causes abnormal carbohydrate, lipid and protein metabolism associated with insulin resistance and impaired insulin secretion. Insulin resistance is a major contributor to progression of the disease and to complications of diabetes. Type 2 diabetes is a common and underdiagnosed condition that poses treatment challenges to family practitioners. The introduction of new oral agents within the past three years has expanded the range of possible combination regimens available for treating type 2 diabetes. Despite the choice of pharmacologic agents, physicians must stress the nonpharmacologic approaches of diet modification, weight control and regular exercise. Pharmacologic approaches must be based on patient characteristics, level of glucose control and cost considerations. Combinations of different oral agents may be useful for controlling hyperglycemia before insulin therapy becomes necessary. A stepped-care approach to drug therapy may provide the most rational, cost-efficient approach to management of this disease. Pharmaco-economic analyses of clinical trials are needed to determine cost-effective treatment strategies for management of type 2 diabetes.""",,"""Department of Family Practice, University of Kentucky College of Medicine, Lexington, USA."", "
78,"R. Bradley, ","""CTIM special issue on type 2 diabetes mellitus."", ",Aug. 2019,,,"""National University of Natural Medicine, Portland, United States; Division of Preventive Medicine, University of California, San Diego, La Jolla, CA, United States; Australian Research Centre in Complementary and Integrative Medicine, University of Technology Sydney, Faculty of Health, Ultimo, Australia. Electronic address: rbradley@nunm.edu."", "
79,"L. Crowshoe, D. Dannenbaum, M. Green, R. Henderson, MN. Hayward and E. Toth, ","""Type 2 Diabetes and Indigenous Peoples."", ",Apr. 2018,,,
80,"L. Quinn, ","""Mechanisms in the development of type 2 diabetes mellitus."", ",Jan. 2002,"""The leading cause of death among patients with type 2 diabetes mellitus (DM) is cardiovascular disease, with 75% of these deaths attributed to coronary heart disease. Over the previous two decades the pathophysiological basis of type 2 DM has been extensively investigated. Although many of the underlying molecular mechanisms involved in the development of this disorder remain to be explained, it is clear that type 2 DM is a complex medical disorder characterized by insulin resistance and defects in insulin secretion. The process through which the metabolic derangements of type 2 DM accelerate the development of cardiovascular disease in type 2 DM has yet to be determined and remains an area of intense investigation, focusing on hyperglycemia and insulin resistance as major underlying contributors. This article explores current information related to the pathophysiology of type 2 DM alone and its relationship to the development to cardiovascular disease.""",,"""University of Illinois at Chicago, College of Nursing, USA."", "
81,"SH. Song and BM. Frier, ","""Young-onset type 2 diabetes: A neglected group requiring urgent attention."", ",Sep. 2022,,,"""Northern General Hospital, Sheffield Teaching Hospitals NHS Foundation Trust, Sheffield, UK."", ""The Queen's Medical Research Institute, University of Edinburgh, Edinburgh, UK."", "
82,"M. Scollan-Koliopoulos, ","""Consideration for legacies about diabetes and self-care for the family with a multigenerational occurrence of type 2 diabetes."", ",Sep. 2004,"""Type 2 diabetes mellitus is a familial disorder that is fast becoming epidemic in the USA. It is possible that nurses will care for entire families with diabetes in the near future. In multiple studies, family functioning, a family systems variable, has been correlated with self-management and glycemic outcomes. Most persons with diabetes live with family members who might facilitate or inhibit self-management tasks or skills. Multiple afflictions of family members with diabetes can further complicate matters relating to diabetes self-management. Diabetes collectively affects over 16 million people in the USA, incurring healthcare costs in excess of 92 billion dollars annually. Individuals engage in self-management behavior for diabetes care in the context of their family's environment. It is imperative that nurses consider factors that might inhibit or facilitate self-management efforts by individuals with type 2 diabetes mellitus. Assessment of family determinants of adaptation to diabetes with appropriate interventions can improve clinical outcomes, subsequently preventing complications.""",,"""Nursing Education and Health Behavioral Studies, Teachers College, Columbia University, New York, NY, USA. ms2039@columbia.edu"", "
83,"PD. Rosenblit, ","""Common medications used by patients with type 2 diabetes mellitus: what are their effects on the lipid profile?,"" ",Jul. 2016,"""Dyslipidemia is the most fundamental risk factor for atherosclerotic cardiovascular disease (ASCVD). In clinical practice, many commonly prescribed medications can alter the patient's lipid profile and, potentially, the risk for ASCVD-either favorably or unfavorably. The dyslipidemia observed in type 2 diabetes mellitus (T2DM) can be characterized as both ominous and cryptic, in terms of unrecognized, disproportionately elevated atherogenic cholesterol particle concentrations, in spite of deceptively and relatively lower levels of low-density lipoprotein cholesterol (LDL-C). Several factors, most notably insulin resistance, associated with the unfavorable discordance of elevated triglyceride (TG) levels and low levels of high-density lipoprotein cholesterol (HDL-C), have been shown to correlate with an increased risk/number of ASCVD events in patients with T2DM. This review focuses on known changes in the routine lipid profile (LDL-C, TGs, and HDL-C) observed with commonly prescribed medications for patients with T2DM, including antihyperglycemic agents, antihypertensive agents, weight loss medications, antibiotics, analgesics, oral contraceptives, and hormone replacement therapies. Given that the risk of ASCVD is already elevated for patients with T2DM, the use of polypharmacy may warrant close observation of overall alterations through ongoing lipid-panel monitoring. Ultimately, the goal is to reduce levels of atherogenic cholesterol particles and thus the patient's absolute risk.""","Atherosclerosis, Cardiovascular risk factors, Dyslipidemia, HDL cholesterol, LDL cholesterol, Polypharmacy, Triglycerides, Type 2 diabetes mellitus, ","""Diabetes/Lipid Management & Research Center, 18821 Delaware St, Suite 202, Huntington Beach, CA, 92648, USA. pdrosenblit@yahoo.com."", ""Division of Endocrinology, Diabetes, Metabolism, Department of Medicine, University of California, Irvine (UCI) School of Medicine, Irvine, CA, USA. pdrosenblit@yahoo.com."", "
84,"MM. George and KC. Copeland, ","""Current treatment options for type 2 diabetes mellitus in youth: today's realities and lessons from the TODAY study."", ",Feb. 2013,"""The incidence of type 2 diabetes in children and adolescents has increased over the last 2 decades, paralleled by an increase in obesity over the same time period. Although the value of lifestyle modification in obese youth is unquestioned, scant evidence for optimal treatment of type 2 diabetes in this age group exists. Despite recent therapeutic drug trials, metformin and insulin are the only medicines currently approved by the U.S. Food and Drug Administration for the treatment of type 2 diabetes in youth. Because of recently amended pharmaceutical regulations, however, it is likely that more antidiabetic medications soon will be added to the armamentarium of therapeutic options for youth with type 2 diabetes. Additionally, the recently published TODAY study comparing safety and efficacy of three treatment regimens in maintaining glycemic control in youth with type 2 diabetes has shed new light on the problem.""",,"""Department of Pediatrics, Section of Diabetes & Endocrinology, The University of Oklahoma College of Medicine, 1200 Children's Ave, Oklahoma City, OK 73104, USA."", "
85,"RH. Jones and SE. Ozanne, ","""Intra-uterine origins of type 2 diabetes."", ",Feb. 2007,"""Epidemiological studies have linked low birth weight with an increased risk of type 2 diabetes in later life. This finding has been observed in many populations worldwide, in many different ethnic and socio-economic groups. These studies led to the proposal of the 'thrifty phenotype hypothesis' that suggests that the foetal environment plays a major role in mediating this relationship. Here we review the human studies and those in animal models which support the 'thrifty phenotype hypothesis'. Molecular pathways underlying the mechanisms by which a suboptimal foetal environment leads to increased risk of type 2 diabetes are discussed, along with future directions outlining how these pathways and programming events can be further dissected to discover plausible intervention strategies to reduce type 2 diabetes.""",,"""Department of Clinical Biochemistry, Addenbrookes Hospital, University of Cambridge, Cambridge, UK."", "
86,"V. Kerlan, ","""Type 2 diabetes in young subjects."", ",Feb. 2005,,,"""CHU de Brest."", "
87,"Z. Wang, Z. Wang, L. Wang, M. Qiu, Y. Wang, X. Hou, Z. Guo and B. Wang, ","""Hypertensive disorders during pregnancy and risk of type 2 diabetes in later life: a systematic review and meta-analysis."", ",Mar. 2017,"""Many studies assessed the association between hypertensive disorders during pregnancy and risk of type 2 diabetes mellitus in later life, but contradictory findings were reported. A systemic review and meta-analysis was carried out to elucidate type 2 diabetes mellitus risk in women with hypertensive disorders during pregnancy. Pubmed, Embase, and Web of Science were searched for cohort or case-control studies on the association between hypertensive disorders during pregnancy and subsequent type 2 diabetes mellitus. Random-effect model was used to pool risk estimates. Bayesian meta-analysis was carried out to further estimate the type 2 diabetes mellitus risk associated with hypertensive disorders during pregnancy. Seventeen cohort or prospective matched case-control studies were finally included. Those 17 studies involved 2,984,634 women and 46,732 type 2 diabetes mellitus cases. Overall, hypertensive disorders during pregnancy were significantly correlated with type 2 diabetes mellitus risk (relative risk = 1.56, 95 % confidence interval 1.21-2.01, P = 0.001). Preeclampsia was significantly and independently correlated with type 2 diabetes mellitus risk (relative risk = 2.25, 95 % confidence interval 1.73-2.90, P < 0.001). In addition, gestational hypertension was also significantly and independently correlated with subsequent type 2 diabetes mellitus risk (relative risk = 2.06, 95 % confidence interval 1.57-2.69, P < 0.001). The pooled estimates were not significantly altered in the subgroup analyses of studies on preeclampsia or gestational hypertension. Bayesian meta-analysis showed the relative risks of type 2 diabetes mellitus risk for individuals with hypertensive disorders during pregnancy, preeclampsia, and gestational hypertension were 1.59 (95 % credibility interval: 1.11-2.32), 2.27 (95 % credibility interval: 1.67-2.97), and 2.06 (95 % credibility interval: 1.41-2.84), respectively. Publication bias was not evident in the meta-analysis. Preeclampsia and gestational hypertension are independently associated with substantially elevated risk of type 2 diabetes mellitus in later life.""","Gestational hypertension, Preeclampsia, Type 2 diabetes, ","""Department of Obstetrics, Maternal and Children Health's Hospital of Weifang, Weifang, 261011, China. bennettzhwang@gmail.com."", ""Surgical Center, Zhucheng People's Hospital, Zhucheng, 262201, China."", ""Department of Endocrinology, Affiliated Hospital of Qingdao University, Qingdao, 266003, China."", ""Department of Endocrinology, Affiliated Hospital of Qingdao University, Qingdao, 266003, China."", ""Department of Endocrinology, Affiliated Hospital of Qingdao University, Qingdao, 266003, China."", ""Department of Endocrinology, Affiliated Hospital of Qingdao University, Qingdao, 266003, China."", ""Department of Medical Education, Health School of Ganzhou in Jiangxi Province, Ganzhou, 341000, China."", ""Department of Endocrinology, Affiliated Hospital of Qingdao University, Qingdao, 266003, China."", "
88,"JP. Palmer, ","""Therapeutic importance of subsets of type 2 diabetes?,"" ",May. 2000,,,
89,"JJ. Daaboul and JH. Siverstein, ","""The management of type 2 diabetes in children and adolescents."", ",Jun. 2004,"""The medical community faces an emerging epidemic of type 2 diabetes (T2DM) in children and adolescents with a disproportionate increase among certain ethnic groups. T2DM represents one arm of the metabolic syndrome and parallels an increasing prevalence of obesity. The metabolic syndrome includes insulin resistance, hyperlipidemia, and hypertension with a consequent risk of early cardiovascular disease. Thus, treatment of T2DM and the metabolic syndrome pose a challenge for pediatric endocrinologists and represent an enormous public health issue. This review presents information about the treatment of childhood T2DM.""",,"""Division of Pediatric Endocrinology, University of Florida, Gainesville, FL 32610-0296, USA."", "
90,"S. Seggelke and B. Everhart, ","""Management of type 2 diabetes."", ",Jun. 2013,,,"""University of Colorado Hospital, Aurora, CO, USA."", "
91,"E. Standl, ","""Overview of the management of type 2 diabetes."", ",Sep. 1998,,,"""Institute of Diabetes Research, Schwabing City Hospital, Munich, Germany."", "
92,"M. Kheirandish, H. Mahboobi, M. Yazdanparast and MA. Kamal, ","""Challenges Related to Glycemic Control in Type 2 Diabetes Mellitus Patients."", ",2017,"""Diabetes mellitus (DM) is a chronic disease with long-term complications. Glycemic control is an important part in management of DM. The first line in treatment of type 2 DM (T2DM) is diet and life style change. Metformin is the first choice of medication in T2DM patients. Sulfonylureas have high risk of hypoglycemia. Glinides are associated with lower risk of hypoglycemia in comparison to sulfonylureas. Also, α-glucosidase inhibitors decrease the polysaccharides' digestion in small intestine and are less effective in comparison to metformin and sulfonylureas in lowering hemoglobin A1c (HbA1c). These have no risk for hypoglycemia, but gastrointestinal symptoms are common. Thiazolidinediones are known as insulin sensitizers and are effective for a longer duration in comparison to sulfonylureas, however, have side effects such as fluid retention, edema and heart failure. Incretin mimetics including exenatide and liraglutide act through increase in insulin secretion by pancreatic beta cells, in a glucose-dependent manner. Therefore, these are associated with no risk of hypoglycemia. Pramlintide is an amylin agonist which is also effective in lowering postprandial blood glucose. Sitagliptin and vildagliptin are dipeptidyl peptidase-4 inhibitors and have no risk of hypoglycemia when used as monotherapy. Canagliflozin and dapagliflozin decrease blood glucose level by increasing urinary glucose excretion and are associated with weight loss.""","Type 2 Diabetes Mellitus (T2DM), glycemic control, insulin, metformin, sulfonylureas, thiazolidinediones, ","""Infectious and Tropical Diseases Research Center, Hormozgan Health Institute, Hormozgan University of Medical Sciences, Bandar Abbas. Iran."", ""Infectious and Tropical Diseases Research Center, Hormozgan Health Institute, Hormozgan University of Medical Sciences, Bandarabbas. Iran."", ""Infectious and Tropical Diseases Research Center, Hormozgan Health Institute, Hormozgan University of Medical Sciences, Bandar Abbas. Iran."", ""King Fahd Medical Research Center, King Abdulaziz University, P.O. Box 80216, Jeddah 21589. Saudi Arabia."", "
93,"R. Hillson, ","""Treating people with type 2 diabetes."", ",Apr. 2013,,,
94,"S. Colagiuri and D. Davies, ","""The value of early detection of type 2 diabetes."", ",Apr. 2009,"""To examine the value of early detection of type 2 diabetes from the perspective of potential benefits and harms to the individual, and from the perspective of the health system.""",,"""Institute of Obesity, Nutrition and Exercise, The University of Sydney, Sydney, NSW, Australia. scolagiuri@usyd.edu.au"", "
95,"CA. Hall and PF. Jacques, ","""Weighing in on the issues of type 2 diabetes in children: a review."", ",2007,"""The purpose of this review is to present the clinical issues, including risk, etiology, screening and identification, complications, management, and prevention of type 2 diabetes mellitus (T2DM) in children and to discuss the role of the pediatric physical therapist in effectively managing children with T2DM.""",,"""Nova Southeastern University, Fort Lauderdale-Davie, Florida, USA. bella876@aol.com"", "
96,"R. Carron, ","""Using community-based participatory research to improve care for American Indians/Alaska Natives with type 2 diabetes mellitus."", ",Jun. 2022,"""American Indians/Alaska Natives are at increased risk for type 2 diabetes mellitus. NPs have the opportunity to intervene with culturally appropriate interventions grounded in community-based participatory research. This article provides an overview of such care that can help improve outcomes.""",,"""Rebecca Carron is an Associate Professor of Nursing at Fay W. Whitney School of Nursing, University of Wyoming, Laramie, Wyoming."", "
97,"M. Alqahtani, E. Ganni, T. Mavrakanas, M. Tsoukas, T. Peters, R. Suri, IG. Fantus, A. Pavilanis, J. Guida, A. Razaghizad and A. Sharma, ","""Synchronous Health Care Delivery for the Optimization of Cardiovascular and Renal Care in Patients with Type 2 Diabetes."", ",Aug. 2022,"""The current care model of type 2 diabetes (T2D) and its complications appears to be ""asynchronous"" with patient care divided by specialty. This model is associated with low use of guideline-directed medical therapies.""","Diagnosis, Guideline-directed medical therapy, Health care delivery, Management, Type 2 diabetes mellitus, ","""Division of Internal Medicine, McGill University Health Centre, McGill University, Montreal, QC, Canada."", ""Division of Internal Medicine, McGill University Health Centre, McGill University, Montreal, QC, Canada."", ""Division of Nephrology, McGill University Health Center, McGill University, Montreal, QC, Canada."", ""Division of Endocrinology and Metabolism, McGill University Health Center, McGill University, Montreal, QC, Canada."", ""Division of Endocrinology and Metabolism, Jewish General Hospital, McGill University, Montreal, QC, Canada."", ""Division of Nephrology, McGill University Health Center, McGill University, Montreal, QC, Canada."", ""Division of Endocrinology and Metabolism, McGill University Health Center, McGill University, Montreal, QC, Canada."", ""DREAM-CV Lab, McGill University Health Centre Research Institute, McGill University, Montreal, QC, Canada."", ""DREAM-CV Lab, McGill University Health Centre Research Institute, McGill University, Montreal, QC, Canada."", ""DREAM-CV Lab, McGill University Health Centre Research Institute, McGill University, Montreal, QC, Canada."", ""Division of Cardiology, McGill University Health Centre, Montreal, QC, Canada. Abhinav.sharma@mail.mcgill.ca."", ""DREAM-CV Lab, McGill University Health Centre Research Institute, McGill University, Montreal, QC, Canada. Abhinav.sharma@mail.mcgill.ca."", ""McGill University Health Centre, 1001 Decarie Blvd, Montreal, QC, H4A 3J1, Canada. Abhinav.sharma@mail.mcgill.ca."", "
98,"C. Beebe and M. O'Donnell, ","""Educating patients with type 2 diabetes."", ",Jun. 2001,"""The patient is the self-manager of type 2 diabetes. The role of the health care professional is to provide the knowledge, skills, and behavior change support to empower the patient to do so. Recent governmental, financial, and clinical factors influence how health care professionals perform this role. Such factors coupled with a growing body of research evidence are shaping the way diabetes self-management education is provided.""",,"""University of Illinois at Chicago, Chicago, USA."", "
99,"EA. Sellers, K. Moore and HJ. Dean, ","""Clinical management of type 2 diabetes in indigenous youth."", ",Dec. 2009,"""Youth-onset type 2 diabetes is a serious public health problem for Indigenous people throughout the world. This article reviews the epidemiology, disease burden, treatment, and challenges in achieving successful clinical management of this disorder in Indigenous youth. Screening criteria and the complications and comorbidities of type 2 diabetes are also reviewed.""",,"""Department of Pediatrics and Child Health, University of Manitoba, FE-307, 685 William Avenue, Winnipeg, Manitoba R3E 0Z2, Canada. esellers@exchange.hsc.mb.ca"", "
100,"S. Colagiuri, K. Borch-Johnsen, C. Glümer and D. Vistisen, ","""There really is an epidemic of type 2 diabetes."", ",Aug. 2005,,,"""Department of Endocrinology and Diabetes, Prince of Wales Hospital, Sydney, NSW, Australia."", "
101,"C. Kopes-Kerr, ","""Type 2 diabetes: separating proven from unproven interventions."", ",Sep. 2009,,,
102,"SJ. Nicholls and L. Rydén, ","""Reducing cardiovascular risk in patients with type 2 diabetes mellitus."", ",May. 2010,,,
103,"K. Iglay, H. Hannachi, SS. Engel, X. Li, D. O'Connell, LM. Moore and S. Rajpathak, ","""Comorbidities in type 2 diabetes patients with and without atherosclerotic cardiovascular disease: a retrospective database analysis."", ",May. 2021,"""Objective: The objective of this study was to describe the pattern of comorbidities in patients with type 2 diabetes mellitus with and without atherosclerotic cardiovascular disease.Methods: This was a retrospective, cross-sectional analysis of the IQVIA Commercial Data Delivery database. Patients were ≥18 years on their last encounter between 1 October 2014 and 30 September 2015 and had either a type 2 diabetes mellitus diagnosis or a prescription for an oral diabetes medication. Atherosclerotic cardiovascular disease was confirmed by diagnosis codes. Comorbidities were identified using diagnosis codes, clinical measurements, and/or medication use.Results: A total of 1,522,526 type 2 diabetes mellitus patients were included in the analysis, 25% of whom had atherosclerotic cardiovascular disease. The most common comorbidities were hypertension, hyperlipidemia, overweight/obesity, chronic kidney disease, congestive heart failure, and neuropathy. These were present, respectively, in the following percentages of patients with and without cardiovascular disease: 98.3 and 91.0%, 94.8 and 78.5%, 80.5 and 80.6%, 38.5 and 18.9, 20.2, and 4.3%, and 13.7 and 8.6%. Thus, the frequencies of hyperlipidemia, chronic kidney disease, and congestive heart failure were notably higher in patients with cardiovascular disease. This trend held true for patients grouped by sex, age, and race.Conclusions: Patients with type 2 diabetes mellitus and atherosclerotic cardiovascular disease have different rates of certain comorbidities compared to those without atherosclerotic cardiovascular disease.""","Type 2 diabetes mellitus, cardiovascular disease, comorbidities, drug therapy, ","""Center for Observational and Real-World Evidence, Merck & Co., Inc., Kenilworth, NJ, USA."", ""Center for Observational and Real-World Evidence, Merck & Co., Inc., Kenilworth, NJ, USA."", ""Center for Observational and Real-World Evidence, Merck & Co., Inc., Kenilworth, NJ, USA."", ""Center for Observational and Real-World Evidence, Merck & Co., Inc., Kenilworth, NJ, USA."", ""Center for Observational and Real-World Evidence, Merck & Co., Inc., Kenilworth, NJ, USA."", ""Center for Observational and Real-World Evidence, Merck & Co., Inc., Kenilworth, NJ, USA."", ""Center for Observational and Real-World Evidence, Merck & Co., Inc., Kenilworth, NJ, USA."", "
