,Authors,ArticleTitle,Date,Abstract,Keywords,Affiliations
43,"B. Liang and N. Gu, ","""Empagliflozin in the treatment of heart failure and type 2 diabetes mellitus: Evidence from several large clinical trials."", ",2022,"""Heart failure coexists with type 2 diabetes mellitus, which seriously affects the clinical treatment and prognosis. At present, the treatment for patients with established heart failure and type 2 diabetes mellitus is usually combined with two treatment strategies for heart failure and type 2 diabetes mellitus. Recently, increasing studies showed that empagliflozin, a sodium-glucose co-transporter-2 inhibitor, has a positive effect on the treatment of patients with established heart failure and type 2 diabetes mellitus. Here, we summarize the latest and current understanding of the management for patients with established heart failure and type 2 diabetes mellitus and further present contemporary treatment options, sodium-glucose co-transporter-2 inhibitor, for these particular populations.""","SGLT2i, empagliflozin, heart failure, type 2 diabetes mellitus, ","""Nanjing University of Chinese Medicine, Nanjing, China."", ""Department of Cardiology, The Second Affiliated Hospital, School of Medicine, Zhejiang University, Hangzhou, China."", ""Nanjing Hospital of Chinese Medicine Affiliated to Nanjing University of Chinese Medicine, Nanjing, China."", "
44,"R. Bradley, ","""CTIM special issue on type 2 diabetes mellitus."", ",Aug. 2019,,,"""National University of Natural Medicine, Portland, United States; Division of Preventive Medicine, University of California, San Diego, La Jolla, CA, United States; Australian Research Centre in Complementary and Integrative Medicine, University of Technology Sydney, Faculty of Health, Ultimo, Australia. Electronic address: rbradley@nunm.edu."", "
45,"E. Ritz, ","""Why is there a type-2 diabetes?."", ",Apr. 1993,,,
46,"S. Howdle and T. Wilkin, ","""Type 2 diabetes in children."", ",,"""The prevalence of type 2 diabetes mellitus is increasing in children and is reaching epidemic proportions in some western countries. Sue Howdle and Terry Wilkin examine the extent of the problem, the disease process, screening, prevention and management of type 2 diabetes.""",,"""Early Bird Diabetes Research Centre, Child Health, Derriford Hospital, Plymouth."", "
47,"D. Ghosh and P. Parida, ","""Drug Discovery and Development of Type 2 Diabetes Mellitus: Modern-Integrative Medicinal Approach."", ",2016,"""Type 2 diabetes is a disorder of ages, which has become deadlier because of life style modification and adaptation in the modern world. Extensive sudy of the pathophysiology of diabetes has opened up various mysteries about the disease and has helped us to know and understand diabetes in a better manner. Presently, we know many minute details about the pathophysiology of diabetes mellitus and are thus well weaponed to fight against it. Treatment regime has been evolving daily. Besides the conventional anti-diabetic drugs, integrated medicinal approach for treating diabetes type 2 with a compact therapeutic approach consisting of various targeted treatments for individual symptoms associated with the disease are being tried currently. Diabetes associated complications like high blood pressure, hyperglycemia, microalbumuria, dyslipidemia, pro -coagulation, etc. are being targeted and dealt with individually in the integrative medicinal approach. The results are promising and thus ignite hope for a better and more successful handling of diabetes and diabetes related pathophysiological complications in near future.""",,"""Centre for Studies in Biotechnology, Dibrugarh University, Dibrugarh, Assam, India. Pratap_parida2007@yahoo.com."", "
48,"MS. Schwartz and A. Chadha, ","""Type 2 diabetes mellitus in childhood: obesity and insulin resistance."", ",Sep. 2008,"""As rates of childhood obesity climb, type 2 diabetes mellitus has increasingly been diagnosed in children and adolescents, with the highest incidence occurring among youth from racial and ethnic minority backgrounds. The serious complications associated with type 2 diabetes mellitus make it essential for physicians to be aware of risk factors and screening guidelines, allowing for earlier patient diagnosis and treatment. It is also important for physicians to be aware of the treatment options available, including weight control through diet and exercise as well as common pharmacotherapeutic options.""",,"""The Children's Hospital at Monmouth Medical Center, 300 2nd Ave, Long Branch, NJ 07740-6303, USA. mschwartz@schcs.com"", "
49,"H. Mehnert and E. Standl, ","""Type 2 diabetes."", ",Apr. 1998,,,"""Institut für Diabelesforschung Krankenhaus München-Schwabing."", "
50,"I. Ramzan, A. Ardavani, F. Vanweert, A. Mellett, PJ. Atherton and I. Idris, ","""The Association between Circulating Branched Chain Amino Acids and the Temporal Risk of Developing Type 2 Diabetes Mellitus: A Systematic Review & Meta-Analysis."", ",Oct. 2022,"""Introduction: Recent studies have concluded that elevated circulating branched chain amino acids (BCAA) are associated with the pathogenesis of type 2 diabetes mellitus (T2DM) and obesity. However, the development of this association over time and the quantification of the strength of this association for individual BCAAs prior to T2DM diagnosis remains unexplored. Methods: A systematic search was conducted using the Healthcare Databases Advance Search (HDAS) via the National Institute for Health and Care Excellence (NICE) website. The data sources included EMBASE, MEDLINE and PubMed for all papers from inception until November 2021. Nine studies were identified in this systematic review and meta-analysis. Stratification was based on follow-up times (0−6, 6−12 and 12 or more years) and controlling of body mass index (BMI) through the specific assessment of overweight cohorts was also undertaken. Results: The meta-analysis revealed a statistically significant positive association between BCAA concentrations and the development of T2DM, with valine OR = 2.08 (95% CI = 2.04−2.12, p < 0.00001), leucine OR = 2.25 (95% CI = 1.76−2.87, p < 0.00001) and isoleucine OR = 2.12, 95% CI = 2.00−2.25, p < 0.00001. In addition, we demonstrated a positive consistent temporal association between circulating BCAA levels and the risk of developing T2DM with differentials in the respective follow-up times of 0−6 years, 6−12 years and ≥12 years follow-up for valine (OR = 2.08, 1.86 and 2.14, p < 0.05 each), leucine (OR = 2.10, 2.25 and 2.16, p < 0.05 each) and isoleucine (OR = 2.12, 1.90 and 2.16, p < 0.05 each) demonstrated. Conclusion: Plasma BCAA concentrations are associated with T2DM incidence across all temporal subgroups. We suggest the potential utility of BCAAs as an early biomarker for T2DM irrespective of follow-up time.""","BCAA, BMI, T2DM, branch chain amino acid, insulin resistance, isoleucine, leucine, obese, obesity, overweight, type 2 diabetes mellitus, valine, ","""Clinical, Metabolic and Molecular Physiology Research Group, MRC-Versus Arthritis Centre for Musculoskeletal Ageing Research, Royal Derby Hospital Centre, University of Nottingham, Derby DE22 6DT, UK."", ""National Institute for Health Research (NIHR), Nottingham Biomedical Research Centre, Nottingham NG7 2UH, UK."", ""Clinical, Metabolic and Molecular Physiology Research Group, MRC-Versus Arthritis Centre for Musculoskeletal Ageing Research, Royal Derby Hospital Centre, University of Nottingham, Derby DE22 6DT, UK."", ""National Institute for Health Research (NIHR), Nottingham Biomedical Research Centre, Nottingham NG7 2UH, UK."", ""Department of Nutrition and Movement Sciences, NUTRIM, School of Nutrition and Translational Research in Metabolism, Maastricht University, 6229 ER Maastricht, The Netherlands."", ""Clinical, Metabolic and Molecular Physiology Research Group, MRC-Versus Arthritis Centre for Musculoskeletal Ageing Research, Royal Derby Hospital Centre, University of Nottingham, Derby DE22 6DT, UK."", ""School of Agriculture and Food Science, Agriculture and Food Science Centre, University College Dublin, Belfield, D04 V1W8 Dublin, Ireland."", ""Clinical, Metabolic and Molecular Physiology Research Group, MRC-Versus Arthritis Centre for Musculoskeletal Ageing Research, Royal Derby Hospital Centre, University of Nottingham, Derby DE22 6DT, UK."", ""National Institute for Health Research (NIHR), Nottingham Biomedical Research Centre, Nottingham NG7 2UH, UK."", ""Clinical, Metabolic and Molecular Physiology Research Group, MRC-Versus Arthritis Centre for Musculoskeletal Ageing Research, Royal Derby Hospital Centre, University of Nottingham, Derby DE22 6DT, UK."", ""National Institute for Health Research (NIHR), Nottingham Biomedical Research Centre, Nottingham NG7 2UH, UK."", "
51,"DC. Lau and H. Teoh, ","""Benefits of modest weight loss on the management of type 2 diabetes mellitus."", ",Apr. 2013,"""The epidemic of overweight and obesity is a major driver of the growing prevalence of type 2 diabetes mellitus globally. The risk of type 2 diabetes increases exponentially as body mass index rises above 25 kg/m(2). Obesity currently costs the Canadian economy approximately $7.1 billion annually whereas per capita health care cost for individuals with diabetes are 3 to 4 times that for persons without the disease. Each kilogram of weight lost through health behaviour changes in people with impaired glucose tolerance is associated with a relative diabetes risk reduction of 16%. As 80% to 90% of people with type 2 diabetes are overweight or obese, and adiposity worsens the metabolic and physiologic abnormalities associated with type 2 diabetes, weight loss is recommended as the cornerstone management measure. A modest weight loss of 5% to 10% is an achievable and realistic goal for preventing type 2 diabetes in susceptible individuals and improving glycemic and metabolic control in people with type 2 diabetes. When health behaviour modification fails to achieve glycemic and metabolic goal targets, priority should be given to antihyperglycemic agents that are associated with weight loss or weight neutrality. Every pound of body fat loss matters and every kilogram counts in the management of type 2 diabetes.""","activité physique, diabète sucré de type 2, dietary therapy, health behaviour modification, modest weight loss, modification du comportement lié à la santé, obesity, obésité, overweight, perte de poids modeste, physical activity, surcharge pondérale, thérapie alimentaire, type 2 diabetes mellitus, ","""Departments of Medicine, Biochemistry and Molecular Biology, Julia McFarlane Diabetes Research Centre, University of Calgary, Calgary, Alberta, Canada. Electronic address: dcwlau@ucalgary.ca."", "
52,"SH. Song and BM. Frier, ","""Young-onset type 2 diabetes: A neglected group requiring urgent attention."", ",Sep. 2022,,,"""Northern General Hospital, Sheffield Teaching Hospitals NHS Foundation Trust, Sheffield, UK."", ""The Queen's Medical Research Institute, University of Edinburgh, Edinburgh, UK."", "
53,"HA. Rowell, BJ. Evans, JL. Quarry-Horn and JR. Kerrigan, ","""Type 2 diabetes mellitus in adolescents."", ",Feb. 2002,"""While diabetes mellitus types 1 and 2 used to be distinguished largely by age at onset, in the past decade there has been an increase in the number of children presenting with diabetes that can be controlled with oral medications. This has lead to these children being diagnosed with type 2 diabetes mellitus despite their young age. This chapter offers an overview of presenting features, pathophysiology, treatment and prognosis of this disorder in the adolescent patient. Additionally, it offers information regarding the relationship between increasing childhood obesity and a rise in the reported cases of diabetes in children. Appropriate screening and laboratory tests and their results are explained, and the pros and cons of both pharmacologic and non-pharmacologic therapies are discussed. Some complications of diabetes in the developing adolescent differ from those adults will face, and the well-known complications of diabetes (hyperlipidemia, hypertension) must be addressed in a population that is not normally screened for these health concerns. It is hoped that by educating physicians to the potential for this disorder in their adolescent patients, long-term complications can be reduced and advanced sequelae of vascular and neurologic problems can possibly be avoided altogether.""",,"""Department of Pediatrics, Pennsylvania State University College of Medicine, Milton S. Hershey Medical Center, Hershey, 17033-0850, USA."", "
54,"R. Karthikeyan, G. Marimuthu, DW. Spence, SR. Pandi-Perumal, AS. BaHammam, GM. Brown and DP. Cardinali, ","""Should we listen to our clock to prevent type 2 diabetes mellitus?,"" ",Nov. 2014,"""The circadian clock drives a number of metabolic processes including energy intake, storage and utilization coupled with the sleep/wake cycles. Globally, the increasing prevalence of type 2 diabetes (T2DM) has become a significant international public health concern. In view of the heavy societal burden caused by diabetes, and further, to reduce its growing incidence, it is clearly essential to understand the causes of this disease and to devise more effective strategies for its treatment. Although many factors cause T2DM, this article centers on the role of circadian regulation of metabolism. The correlation between the increased occurrence of T2DM and the ubiquity of modern social pressures such as 24/7 lifestyles as well as nocturnal lighting conditions point strongly to the hypothesis that malfunctioning of circadian controls may be involved in the etiology of the illness. Nocturnal light exposure, unusual timing of food, irregular sleep/wake schedules and traveling between different time zones are some of the factors responsible for improper entrainment of the clock. Recent reports have proposed that strengthening of circadian clock functioning and proper timing of food intake could stabilize glucose homeostasis. This strategy thus represents a chronotherapeutic option for non-pharmaceutical intervention in treating T2DM patients.""","Circadian rhythms, Clock genes, Melatonin., Metabolism, Type 2 diabetes mellitus, ","""Department of Animal Behaviour, School of Biological Sciences, Madurai Kamaraj University, Madurai 625 021, Tamil Nadu, India."", ""Department of Animal Behaviour, School of Biological Sciences, Madurai Kamaraj University, Madurai 625 021, Tamil Nadu, India. Electronic address: emailboxgm@gmail.com."", ""Independent Researcher,652 Dufferin Street, Toronto, ON M6K 2B4, Canada."", ""Center for Healthful Behavior Change (CHBC), Division of Health and Behavior, Department of Population Health, New York University Medical Center, Clinical & Translational Research Institute, New York, NY 10016, USA."", ""University Sleep Disorders Center, College of Medicine, National Plan for Science and Technology, King Saud University, Riyadh, Saudi Arabia."", ""Centre for Addiction and Mental Health, University of Toronto, 100 Stokes St., Toronto, ON M6J 1H4, Canada."", ""Department of Teaching and Research, Faculty of Medical Sciences, Pontificia Universidad Católica Argentina, Buenos Aires, 1107, Argentina."", "
55,"HJ. Aparicio, ","""Healthy Lifestyle for Healthier Arteries in People With Type 2 Diabetes."", ",Sep. 2023,,"Editorials, cardiovascular disease, mortality, risk factors, ","""Department of Neurology Boston University Chobanian & Avedisian School of Medicine Boston MA USA."", ""Stroke and Cerebrovascular Center Boston Medical Center Boston MA USA."", "
56,"M. Kheirandish, H. Mahboobi, M. Yazdanparast and MA. Kamal, ","""Challenges Related to Glycemic Control in Type 2 Diabetes Mellitus Patients."", ",2017,"""Diabetes mellitus (DM) is a chronic disease with long-term complications. Glycemic control is an important part in management of DM. The first line in treatment of type 2 DM (T2DM) is diet and life style change. Metformin is the first choice of medication in T2DM patients. Sulfonylureas have high risk of hypoglycemia. Glinides are associated with lower risk of hypoglycemia in comparison to sulfonylureas. Also, α-glucosidase inhibitors decrease the polysaccharides' digestion in small intestine and are less effective in comparison to metformin and sulfonylureas in lowering hemoglobin A1c (HbA1c). These have no risk for hypoglycemia, but gastrointestinal symptoms are common. Thiazolidinediones are known as insulin sensitizers and are effective for a longer duration in comparison to sulfonylureas, however, have side effects such as fluid retention, edema and heart failure. Incretin mimetics including exenatide and liraglutide act through increase in insulin secretion by pancreatic beta cells, in a glucose-dependent manner. Therefore, these are associated with no risk of hypoglycemia. Pramlintide is an amylin agonist which is also effective in lowering postprandial blood glucose. Sitagliptin and vildagliptin are dipeptidyl peptidase-4 inhibitors and have no risk of hypoglycemia when used as monotherapy. Canagliflozin and dapagliflozin decrease blood glucose level by increasing urinary glucose excretion and are associated with weight loss.""","Type 2 Diabetes Mellitus (T2DM), glycemic control, insulin, metformin, sulfonylureas, thiazolidinediones, ","""Infectious and Tropical Diseases Research Center, Hormozgan Health Institute, Hormozgan University of Medical Sciences, Bandar Abbas. Iran."", ""Infectious and Tropical Diseases Research Center, Hormozgan Health Institute, Hormozgan University of Medical Sciences, Bandarabbas. Iran."", ""Infectious and Tropical Diseases Research Center, Hormozgan Health Institute, Hormozgan University of Medical Sciences, Bandar Abbas. Iran."", ""King Fahd Medical Research Center, King Abdulaziz University, P.O. Box 80216, Jeddah 21589. Saudi Arabia."", "
57,"Z. Wang, Z. Wang, L. Wang, M. Qiu, Y. Wang, X. Hou, Z. Guo and B. Wang, ","""Hypertensive disorders during pregnancy and risk of type 2 diabetes in later life: a systematic review and meta-analysis."", ",Mar. 2017,"""Many studies assessed the association between hypertensive disorders during pregnancy and risk of type 2 diabetes mellitus in later life, but contradictory findings were reported. A systemic review and meta-analysis was carried out to elucidate type 2 diabetes mellitus risk in women with hypertensive disorders during pregnancy. Pubmed, Embase, and Web of Science were searched for cohort or case-control studies on the association between hypertensive disorders during pregnancy and subsequent type 2 diabetes mellitus. Random-effect model was used to pool risk estimates. Bayesian meta-analysis was carried out to further estimate the type 2 diabetes mellitus risk associated with hypertensive disorders during pregnancy. Seventeen cohort or prospective matched case-control studies were finally included. Those 17 studies involved 2,984,634 women and 46,732 type 2 diabetes mellitus cases. Overall, hypertensive disorders during pregnancy were significantly correlated with type 2 diabetes mellitus risk (relative risk = 1.56, 95 % confidence interval 1.21-2.01, P = 0.001). Preeclampsia was significantly and independently correlated with type 2 diabetes mellitus risk (relative risk = 2.25, 95 % confidence interval 1.73-2.90, P < 0.001). In addition, gestational hypertension was also significantly and independently correlated with subsequent type 2 diabetes mellitus risk (relative risk = 2.06, 95 % confidence interval 1.57-2.69, P < 0.001). The pooled estimates were not significantly altered in the subgroup analyses of studies on preeclampsia or gestational hypertension. Bayesian meta-analysis showed the relative risks of type 2 diabetes mellitus risk for individuals with hypertensive disorders during pregnancy, preeclampsia, and gestational hypertension were 1.59 (95 % credibility interval: 1.11-2.32), 2.27 (95 % credibility interval: 1.67-2.97), and 2.06 (95 % credibility interval: 1.41-2.84), respectively. Publication bias was not evident in the meta-analysis. Preeclampsia and gestational hypertension are independently associated with substantially elevated risk of type 2 diabetes mellitus in later life.""","Gestational hypertension, Preeclampsia, Type 2 diabetes, ","""Department of Obstetrics, Maternal and Children Health's Hospital of Weifang, Weifang, 261011, China. bennettzhwang@gmail.com."", ""Surgical Center, Zhucheng People's Hospital, Zhucheng, 262201, China."", ""Department of Endocrinology, Affiliated Hospital of Qingdao University, Qingdao, 266003, China."", ""Department of Endocrinology, Affiliated Hospital of Qingdao University, Qingdao, 266003, China."", ""Department of Endocrinology, Affiliated Hospital of Qingdao University, Qingdao, 266003, China."", ""Department of Endocrinology, Affiliated Hospital of Qingdao University, Qingdao, 266003, China."", ""Department of Medical Education, Health School of Ganzhou in Jiangxi Province, Ganzhou, 341000, China."", ""Department of Endocrinology, Affiliated Hospital of Qingdao University, Qingdao, 266003, China."", "
58,"L. Crowshoe, D. Dannenbaum, M. Green, R. Henderson, MN. Hayward and E. Toth, ","""Type 2 Diabetes and Indigenous Peoples."", ",Apr. 2018,,,
59,"ED. Abel, JR. Ingelfinger, J. Kolko, S. Linhales Barker, D. Lopez, M. Mejia, M. Peek, JEB. Reusch and CJ. Rosen, ","""Type 2 Diabetes - Controlling the Epidemic, Episode 2: After the Diagnosis - Making a Plan and Addressing Social Determinants of Health."", ",Sep. 2023,,,"""From UCLA Health, Los Angeles (E.D.A.); the University of Chicago, Chicago (M.P.); and the University of Colorado, Denver Veterans Affairs Medical Center, Denver (J.E.B.R.)."", ""From UCLA Health, Los Angeles (E.D.A.); the University of Chicago, Chicago (M.P.); and the University of Colorado, Denver Veterans Affairs Medical Center, Denver (J.E.B.R.)."", ""From UCLA Health, Los Angeles (E.D.A.); the University of Chicago, Chicago (M.P.); and the University of Colorado, Denver Veterans Affairs Medical Center, Denver (J.E.B.R.)."", ""From UCLA Health, Los Angeles (E.D.A.); the University of Chicago, Chicago (M.P.); and the University of Colorado, Denver Veterans Affairs Medical Center, Denver (J.E.B.R.)."", ""From UCLA Health, Los Angeles (E.D.A.); the University of Chicago, Chicago (M.P.); and the University of Colorado, Denver Veterans Affairs Medical Center, Denver (J.E.B.R.)."", ""From UCLA Health, Los Angeles (E.D.A.); the University of Chicago, Chicago (M.P.); and the University of Colorado, Denver Veterans Affairs Medical Center, Denver (J.E.B.R.)."", ""From UCLA Health, Los Angeles (E.D.A.); the University of Chicago, Chicago (M.P.); and the University of Colorado, Denver Veterans Affairs Medical Center, Denver (J.E.B.R.)."", ""From UCLA Health, Los Angeles (E.D.A.); the University of Chicago, Chicago (M.P.); and the University of Colorado, Denver Veterans Affairs Medical Center, Denver (J.E.B.R.)."", ""From UCLA Health, Los Angeles (E.D.A.); the University of Chicago, Chicago (M.P.); and the University of Colorado, Denver Veterans Affairs Medical Center, Denver (J.E.B.R.)."", "
60,"EM. Vivian, ","""Type 2 diabetes in children and adolescents--the next epidemic?,"" ",Feb. 2006,"""To provide an overview of the incidence of type 2 diabetes in children and adolescents and provide direction for clinicians who care for children and adolescents.""",,"""Western University of Health Sciences, College of Pharmacy, Pomona, California 91766-1854, USA. evivian@westernu.edu"", "
61,"N. Gungor and S. Arslanian, ","""Pathophysiology of type 2 diabetes mellitus in children and adolescents: treatment implications."", ",2002,"""Type 2 diabetes mellitus was considered an exclusive disease of adulthood until the late 1970s, when reports of an increased prevalence in the pediatric age group emerged in the literature. The concerning upswing in the rate of diagnosis of type 2 diabetes mellitus in children and adolescents has continued, parallel to the increasing rates of obesity. The disease is not specific to the U.S.; it has proven to be a global problem. The current information on type 2 diabetes mellitus in children and adolescents is mostly extrapolated from studies in adults with type 2 diabetes mellitus, due to the paucity of studies conducted in youth. Obesity, family history of type 2 diabetes mellitus, minority ethnicity and race, polycystic ovary syndrome, maternal diabetes mellitus or impaired glucose tolerance during gestation, and acanthosis nigricans are the major risk factors and markers of youth-onset type 2 diabetes mellitus. The pathophysiology, which involves both an insulin secretion defect and resistance to insulin, needs further clarification in pediatric studies. Current management approaches involve lifestyle modification (nutritional and exercise) along with pharmacologic agents, such as insulin and oral antihyperglycemic medications, as indicated. A recent study on the use of metformin in childhood-onset type 2 diabetes mellitus demonstrated the drug to be effective and to have a good safety profile in this population. However, the outcomes of ongoing studies and future studies focusing on type 2 diabetes mellitus in the pediatric age group will be crucial in terms of fine-tuning management plans and setting up appropriate prevention strategies.""",,"""Division of Pediatric Endocrinology, Metabolism, and Diabetes Mellitus, Children's Hospital, University of Pittsburgh, Pittsburgh, Pennsylvania 15213, USA."", "
62,"MM. Shubair and PK. Tobin, ","""Type 2 diabetes in the First Nations population: a case example of clinical practice guidelines."", ",2010,"""Type 2 diabetes (T2D) is a major public health concern and has reached epidemic proportions in the Canadian First Nation population. Reasons for this epidemic are the consequences of low socioeconomic status, and challenges to screening, primary prevention, management and access to care.""",,"""Health Sciences Programs, University of Northern British Columbia, Prince George, British Columbia, Canada. shubair@unbc.ca"", "
63,"Q. Xu, W. Wang, Y. Li, Y. Liu and Y. Liu, ","""Imidazole propionate in type 2 diabetes mellitus and cardiovascular diseases: a mini review."", ",2024,"""Oral and gut microbiota can interact with the host by producing a diverse range of bioactive metabolites, thereby influencing overall host health. Imidazole propionate (ImP), a histidine-derived metabolite produced by microbes associated with diabetes mellitus, has attracted considerable attention on account of its roles in metabolic and cardiovascular diseases. In this article, we review the metabolic pathways of ImP, as well as its roles and therapeutic potential in type 2 diabetes mellitus and cardiovascular diseases. Future research should focus on key enzymes and regulatory factors in the ImP metabolic pathway, interactions with other metabolites, and conduct large-scale clinical studies to gain a more comprehensive understanding of the role of ImP in diverse populations and disease contexts. Moreover, targeted interventions against ImP could provide novel strategies for preventing and treating metabolic and cardiovascular diseases.""","cardiovascular disease, imidazole propionate, microbiota metabolite, research progress, type 2 diabetes mellitus, ","""National Clinical Research Center for Chinese Medicine Cardiology, Xiyuan Hospital, Chinese Academy of Chinese Medical Sciences, Beijing, China."", ""National Clinical Research Center for Chinese Medicine Cardiology, Xiyuan Hospital, Chinese Academy of Chinese Medical Sciences, Beijing, China."", ""National Clinical Research Center for Chinese Medicine Cardiology, Xiyuan Hospital, Chinese Academy of Chinese Medical Sciences, Beijing, China."", ""National Clinical Research Center for Chinese Medicine Cardiology, Xiyuan Hospital, Chinese Academy of Chinese Medical Sciences, Beijing, China."", ""The Second Department of Gerontology, Xiyuan Hospital, China Academy of Chinese Medical Sciences, Beijing, China."", ""National Clinical Research Center for Chinese Medicine Cardiology, Xiyuan Hospital, Chinese Academy of Chinese Medical Sciences, Beijing, China."", "
64,"FR. Kaufman, ","""Type 2 diabetes in children and youth."", ",Sep. 2005,"""The number of children and youth diagnosed with type 2 diabetes has increased dramatically over the last decade. Much still needs to be learned about why this epidemic is occurring presently with regard to other environmental factors that might promote insulin resistance and beta-cell failure. The TODAY trial will help to determine the best treatment strategies to improve glycemia, reduce complications, and ameliorate insulin resistance and beta-cell failure. As type 2 diabetes emerges as a worldwide public health problem, improved care for affected youth must be coupled with a focus on prevention.""",,"""Department of Pediatrics, Keck School of Medicine, University of Southern California, Los Angeles, CA, USA. fkaufman@chla.usc.edu"", "
65,"MM. Sale and SS. Rich, ","""Genetic contributions to type 2 diabetes: recent insights."", ",Mar. 2007,"""Few Type 2 diabetes loci are considered confirmed and replicated across multiple populations. Some genes that have become accepted as contributors to diabetes risk include: calpain 10, peroxisome proliferator-activated receptor-gamma, ATP-sensitive inwardly rectifying potassium channel subunit Kir6.2, hepatocyte nuclear factor 4alpha and hepatic transcription factor 1. While numerous reports of new diabetes loci enter the literature on a regular basis, this review focuses on selected novel associations reported within the last 12 months. In particular, we highlight recent reports of associations between Type 2 diabetes and the transcription factor 7-like 2 gene, associations with micro-opioid receptor and supressor of cytokine signaling 2 genes, and expression and functional analyses of adipokines vaspin and retinol binding protein 4. These new results provide insights into possible mechanisms influencing disease susceptibility and thus new diagnostic and therapeutic opportunities for Type 2 diabetes.""",,"""Internal Medicine, Wake Forest University School of Medicine, Center for Human Genomics, Medical Center Blvd, Winston-Salem, NC 27157, USA. msale@wfubmc.edu"", "
66,"E. Shafrir, M. Malecki, G. Schernthaner and J. Kiljanski, ","""Treatment of type 2 diabetes mellitus. Introduction."", ",Dec. 2008,,,
67,"C. Guber, ","""Type 2 diabetes."", ",,,,
68,"K. Iglay, H. Hannachi, SS. Engel, X. Li, D. O'Connell, LM. Moore and S. Rajpathak, ","""Comorbidities in type 2 diabetes patients with and without atherosclerotic cardiovascular disease: a retrospective database analysis."", ",May. 2021,"""Objective: The objective of this study was to describe the pattern of comorbidities in patients with type 2 diabetes mellitus with and without atherosclerotic cardiovascular disease.Methods: This was a retrospective, cross-sectional analysis of the IQVIA Commercial Data Delivery database. Patients were ≥18 years on their last encounter between 1 October 2014 and 30 September 2015 and had either a type 2 diabetes mellitus diagnosis or a prescription for an oral diabetes medication. Atherosclerotic cardiovascular disease was confirmed by diagnosis codes. Comorbidities were identified using diagnosis codes, clinical measurements, and/or medication use.Results: A total of 1,522,526 type 2 diabetes mellitus patients were included in the analysis, 25% of whom had atherosclerotic cardiovascular disease. The most common comorbidities were hypertension, hyperlipidemia, overweight/obesity, chronic kidney disease, congestive heart failure, and neuropathy. These were present, respectively, in the following percentages of patients with and without cardiovascular disease: 98.3 and 91.0%, 94.8 and 78.5%, 80.5 and 80.6%, 38.5 and 18.9, 20.2, and 4.3%, and 13.7 and 8.6%. Thus, the frequencies of hyperlipidemia, chronic kidney disease, and congestive heart failure were notably higher in patients with cardiovascular disease. This trend held true for patients grouped by sex, age, and race.Conclusions: Patients with type 2 diabetes mellitus and atherosclerotic cardiovascular disease have different rates of certain comorbidities compared to those without atherosclerotic cardiovascular disease.""","Type 2 diabetes mellitus, cardiovascular disease, comorbidities, drug therapy, ","""Center for Observational and Real-World Evidence, Merck & Co., Inc., Kenilworth, NJ, USA."", ""Center for Observational and Real-World Evidence, Merck & Co., Inc., Kenilworth, NJ, USA."", ""Center for Observational and Real-World Evidence, Merck & Co., Inc., Kenilworth, NJ, USA."", ""Center for Observational and Real-World Evidence, Merck & Co., Inc., Kenilworth, NJ, USA."", ""Center for Observational and Real-World Evidence, Merck & Co., Inc., Kenilworth, NJ, USA."", ""Center for Observational and Real-World Evidence, Merck & Co., Inc., Kenilworth, NJ, USA."", ""Center for Observational and Real-World Evidence, Merck & Co., Inc., Kenilworth, NJ, USA."", "
69,"F. Kestel, ","""Type 2 diabetes."", ",Jun. 2004,,,"""Albert Einstein Health Care network, Philadelphia, PA, USA."", "
70,"JG. Eriksson, ","""Exercise and the treatment of type 2 diabetes mellitus. An update."", ",Jun. 1999,"""Exercise has long been considered a cornerstone in the treatment regimen for patients with type 2 (non-insulin-dependent) diabetes mellitus. Aerobic endurance exercise has traditionally been advocated as the most suitable exercise mode. Several exercise studies have evaluated the effect of exercise on insulin sensitivity and glycaemic control in patients with type 2 diabetes mellitus. However, the results obtained have been highly heterogeneous regarding the effect of exercise on insulin sensitivity and glycaemic control. Only in certain subgroups (e.g. patients with type 2 diabetes mellitus under 55 years of age, those with diabetes treated through diet and those who have diabetes with fairly good metabolic control), does exercise seem to be beneficial with regard to improvement in glycaemic control. There has been little research into the effects of resistance training on glucose metabolism in patients with type 2 diabetes mellitus compared with the amount of research involving aerobic endurance exercise. The incidence of type 2 diabetes mellitus increases with increasing age, partly because of the decline in muscle mass associated with aging. This corresponds with a decline in metabolic function, supporting the usefulness of resistance training. Available studies support the usefulness of resistance training in the treatment of type 2 diabetes mellitus. Therefore, based on the published studies reviewed, this author proposes that an optimal exercise programme for individuals with type 2 diabetes mellitus should include components that improve cardiorespiratory fitness, muscular strength and endurance, i.e. a combination of aerobic endurance training and circuit-type resistance training. Programmes combining various modes of exercise positively influence patient compliance with the exercise programme. The vast majority of patients with type 2 diabetes mellitus can undertake an individualised exercise programme without significantly increased risks of complications.""",,"""National Public Health Institute, Department of Epidemiology and Health Promotion, Helsinki, Finland. johan.eriksson@ktl.fi"", "
